Sim Name,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect,pop_diffs_2045_2065,pop_diffs_2026_2100,pop_diffs_2050,total_pop_diff_2050,avg_diff,avg_gdp_pc_diff,discount_rate,NPV,"QALY 20, $B","QALY NPV, $T"
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404562994,3.940876414366011,0.03,2.521799088315446,75.8348878412673,1.4252106297227969
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404562994,3.940876414366011,0.035,2.011939549354138,75.8348878412673,1.1971102216091805
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404562994,3.940876414366011,0.04,1.6296662824963066,75.8348878412673,1.0126183046890394
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404562994,3.940876414366011,0.05,1.114093371194098,75.8348878412673,0.7389056086767442
1st Gen 18.5pct,65,5,10,0.15,0.13,0.0,9.460688321249302,29.929256076909784,0.4601928009028337,0.46019280090283365,78.71320404562994,3.940876414366011,0.06,0.7982753949418795,75.8348878412673,0.552072277060286
2nd Gen,40,10,20,0.41,0.72,0.0,27.238783908174412,94.73912333940802,1.110598325664858,1.110665356194321,505.03883610934366,954.9683433687411,0.01,40.40459433769413,220.82701296110938,9.367010430389369
2nd Gen,40,10,20,0.41,0.72,0.0,27.238783908174412,94.73912333940802,1.110598325664858,1.110665356194321,505.03883610934366,954.9683433687411,0.02,22.239376398978163,220.82701296110938,5.950609841773877
2nd Gen,40,10,20,0.41,0.72,0.0,27.238783908174412,94.73912333940802,1.110598325664858,1.110665356194321,505.03883610934366,954.9683433687411,0.03,12.95204903064718,220.82701296110938,3.8832127947383643
2nd Gen,40,10,20,0.41,0.72,0.0,27.238783908174412,94.73912333940802,1.110598325664858,1.110665356194321,505.03883610934366,954.9683433687411,0.035,10.082707089454463,220.82701296110938,3.1673820962053405
2nd Gen,40,10,20,0.41,0.72,0.0,27.238783908174412,94.73912333940802,1.110598325664858,1.110665356194321,505.03883610934366,954.9683433687411,0.04,7.945753693879901,220.82701296110938,2.599489955490566
2nd Gen,40,10,20,0.41,0.72,0.0,27.238783908174412,94.73912333940802,1.110598325664858,1.110665356194321,505.03883610934366,954.9683433687411,0.05,5.101018076927206,220.82701296110938,1.7819684491726098
2nd Gen,40,10,20,0.41,0.72,0.0,27.238783908174412,94.73912333940802,1.110598325664858,1.110665356194321,505.03883610934366,954.9683433687411,0.06,3.4012467095722125,220.82701296110938,1.2484887499867794
2nd Gen + OOC,40,8,16,0.41,0.72,0.0,30.174455161955862,100.16220204706069,1.331623455381073,1.3317212864223447,522.6102256960669,936.4267271798287,0.01,41.637421797581496,243.513593855323,10.048103381865811
2nd Gen + OOC,40,8,16,0.41,0.72,0.0,30.174455161955862,100.16220204706069,1.331623455381073,1.3317212864223447,522.6102256960669,936.4267271798287,0.02,23.26431983756176,243.513593855323,6.490271419059489
2nd Gen + OOC,40,8,16,0.41,0.72,0.0,30.174455161955862,100.16220204706069,1.331623455381073,1.3317212864223447,522.6102256960669,936.4267271798287,0.03,13.808121074352822,243.513593855323,4.314488245366164
2nd Gen + OOC,40,8,16,0.41,0.72,0.0,30.174455161955862,100.16220204706069,1.331623455381073,1.3317212864223447,522.6102256960669,936.4267271798287,0.035,10.866224223363698,243.513593855323,3.5540539872222814
2nd Gen + OOC,40,8,16,0.41,0.72,0.0,30.174455161955862,100.16220204706069,1.331623455381073,1.3317212864223447,522.6102256960669,936.4267271798287,0.04,8.66346969729747,243.513593855323,2.946802266417018
2nd Gen + OOC,40,8,16,0.41,0.72,0.0,30.174455161955862,100.16220204706069,1.331623455381073,1.3317212864223447,522.6102256960669,936.4267271798287,0.05,5.704563693562111,243.513593855323,2.0636065707715754
2nd Gen + OOC,40,8,16,0.41,0.72,0.0,30.174455161955862,100.16220204706069,1.331623455381073,1.3317212864223447,522.6102256960669,936.4267271798287,0.06,3.910001895543543,243.513593855323,1.4783107890479446
"41 the new 40, mortality only",40,10,20,0.5,0.0,0.0,33.349710432653694,116.068918970755,1.358460384925954,1.3585421302835727,137.08382162448984,-489.40115578296604,0.01,14.791553495351053,270.37925407216596,11.474688037971294
"41 the new 40, mortality only",40,10,20,0.5,0.0,0.0,33.349710432653694,116.068918970755,1.358460384925954,1.3585421302835727,137.08382162448984,-489.40115578296604,0.02,7.780412876217494,270.37925407216596,7.288710420758922
"41 the new 40, mortality only",40,10,20,0.5,0.0,0.0,33.349710432653694,116.068918970755,1.358460384925954,1.3585421302835727,137.08382162448984,-489.40115578296604,0.03,4.285698250379235,270.37925407216596,4.755831109388961
"41 the new 40, mortality only",40,10,20,0.5,0.0,0.0,33.349710432653694,116.068918970755,1.358460384925954,1.3585421302835727,137.08382162448984,-489.40115578296604,0.035,3.232737992682204,270.37925407216596,3.8788927887723825
"41 the new 40, mortality only",40,10,20,0.5,0.0,0.0,33.349710432653694,116.068918970755,1.358460384925954,1.3585421302835727,137.08382162448984,-489.40115578296604,0.04,2.4629156688385163,270.37925407216596,3.1832233382791504
"41 the new 40, mortality only",40,10,20,0.5,0.0,0.0,33.349710432653694,116.068918970755,1.358460384925954,1.3585421302835727,137.08382162448984,-489.40115578296604,0.05,1.4684023392634946,270.37925407216596,2.181832843249067
"41 the new 40, mortality only",40,10,20,0.5,0.0,0.0,33.349710432653694,116.068918970755,1.358460384925954,1.3585421302835727,137.08382162448984,-489.40115578296604,0.06,0.9019553052728492,270.37925407216596,1.528439699219269
"41 the new 40, productivity only",40,10,20,0.0,0.5,0.0,0.0,0.0,0.0,0.0,252.27253499950103,875.2408792187579,0.01,18.96571419403103,0.0,0.0
"41 the new 40, productivity only",40,10,20,0.0,0.5,0.0,0.0,0.0,0.0,0.0,252.27253499950103,875.2408792187579,0.02,10.588497429727207,0.0,0.0
"41 the new 40, productivity only",40,10,20,0.0,0.5,0.0,0.0,0.0,0.0,0.0,252.27253499950103,875.2408792187579,0.03,6.271103968254646,0.0,0.0
"41 the new 40, productivity only",40,10,20,0.0,0.5,0.0,0.0,0.0,0.0,0.0,252.27253499950103,875.2408792187579,0.035,4.92676982274672,0.0,0.0
"41 the new 40, productivity only",40,10,20,0.0,0.5,0.0,0.0,0.0,0.0,0.0,252.27253499950103,875.2408792187579,0.04,3.9198408204564963,0.0,0.0
"41 the new 40, productivity only",40,10,20,0.0,0.5,0.0,0.0,0.0,0.0,0.0,252.27253499950103,875.2408792187579,0.05,2.56710634450146,0.0,0.0
"41 the new 40, productivity only",40,10,20,0.0,0.5,0.0,0.0,0.0,0.0,0.0,252.27253499950103,875.2408792187579,0.06,1.7472736167360214,0.0,0.0
"41 the new 40, fertility only",40,10,20,0.0,0.0,0.5,0.5318837637507887,38.31953089912822,0.0,0.36463356013707865,-20.679366642440655,-89.29484487789921,0.01,18.455579353976674,102.21210321385202,8.57610117233609
